"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",40,24,12,19,7,10,7,30,52,55,73,64,64,83,91,117,101,66,106,123,86,66,49,52
"2",21,25,13,13,13,6,16,29,53,68,72,69,83,60,62,83,86,50,103,128,64,73,57,47
"3",56,33,38,25,24,10,14,33,40,47,58,67,55,48,56,55,45,43,46,63,49,58,63,44
"4",39,23,21,12,8,13,15,20,31,69,87,81,81,97,85,100,94,84,119,110,86,64,54,36
"5",41,51,25,19,19,24,20,24,43,38,39,52,54,74,64,64,57,40,58,90,59,45,61,43
"6",24,30,12,16,8,11,19,27,48,66,56,71,76,65,88,86,86,57,93,111,74,63,66,42
"7",38,29,17,11,9,8,15,29,39,55,68,77,80,61,78,92,101,64,92,130,80,68,62,41
